DT_REFER,LPA
2017Q1,164.88897678141848
2017Q2,181.01128302708815
2017Q3,357.147393564459
2017Q4,286.8981073494224
2018Q1,232.9902745941073
2018Q2,-153.70987178956918
2018Q3,-279.0732956289696
2018Q4,-399.04014503645817
2019Q1,102.67229576337904
2019Q2,555.4006691951495
2019Q3,691.6225646400679
2019Q4,1351.0586463576115
2020Q1,-630.7948225215638
2020Q2,15.902041068709758
2020Q3,676.0841285622679
2020Q4,2025.973525255703
2021Q1,608.7629153565048
2021Q2,1197.4402421464886
2021Q3,2191.3647994980643
2021Q4,3759.5944896784467
