DT_REFER,LPA
2017Q1,1317.7524864780898
2017Q2,1347.276047613497
2017Q3,1419.6194722967793
2017Q4,3003.27384041223
2018Q1,75.7716717698062
2018Q2,-98.93882680347645
2018Q3,-94.58779787261871
2018Q4,34.93990067754724
2019Q1,-94.80359416948913
2019Q2,-1.0884589963748699
2019Q3,-179.61260715923225
2019Q4,-207.66045426134232
2020Q1,691.5525148155249
2020Q2,-594.965224546428
2020Q3,-1790.6329146201176
2020Q4,-1255.130521682938
2021Q1,-419.4936579039217
2021Q2,12058.473555986066
2021Q3,180.74487372990475
2021Q4,271.9938509754065
