DT_REFER,RCT/CP,RCT/PT
2017Q1,1.748703669219422,0.6739500244959702
2017Q2,1.9975061474744245,0.6889050191698288
2017Q3,1.977737612523358,0.6827856551131121
2017Q4,1.8691859826659887,0.6776468428403283
2018Q1,2.4520685400938858,0.6678786938169826
2018Q2,2.7254214324876918,0.6663257174989967
2018Q3,2.625068154508598,0.6671312597972298
2018Q4,3.248519572310443,0.6692572156902077
2019Q1,2.8676797176878597,0.6770601077061023
2019Q2,2.8941018849572844,0.6786073715430804
2019Q3,-3.2397510887687324,0.6859729487474264
2019Q4,0.9391327128778619,0.6781175566000057
2020Q1,19.297363877975368,0.6908515853622681
2020Q2,1.570507299289745,0.7016110087568391
2020Q3,-1.7489305922855678,0.6657271851984857
2020Q4,12.54341918195346,0.6554845267123612
2021Q1,6.518320610702739,0.6445671616031737
2021Q2,1.627189032481813,0.6387808685045915
2021Q3,2.1042471257879045,0.648740793581324
2021Q4,2.533471562772133,0.659962113570546
