DT_REFER,LPA
2017Q1,138.4143568963869
2017Q2,325.91714824143565
2017Q3,385.05308757397165
2017Q4,407.10387357992806
2018Q1,127.47150446837371
2018Q2,260.02853552455116
2018Q3,399.138974241112
2018Q4,258.02845306764135
2019Q1,170.33673542830678
2019Q2,377.83463692642357
2019Q3,686.2707245412564
2019Q4,742.7735614841255
2020Q1,198.62390430517095
2020Q2,132.70746268426765
2020Q3,224.69459212208443
2020Q4,335.2692035921537
2021Q1,95.5037871745868
2021Q2,188.28893815154896
2021Q3,288.9345698014848
2021Q4,412.88988079022283
